2MASS J0249-0557 c,2MASS J0249-0557 A,2,1,Imaging,2018,Mauna Kea Observatory,0,,1950.0000000000,12.40000000,1.11000000,3686.80952120,11.60000000,Mass,,,,0,M6 V,2859.00,0.315959,0.046000,,,4.908490,02h49m56.44s,42.4851627,-05d57m35.97s,-5.9599921,66.06130000,18.3000000,11.0550000,15.6894000
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,,572.0000000000,12.20000000,1.08000000,5720.91132600,18.00000000,Mass,,,2369.00,0,,2943.00,0.289776,0.264996,,,4.937180,03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759,117.43500000,,12.5330000,16.9967000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,Hubble Space Telescope,0,,15.0000000000,12.60000000,1.13000000,2383.60000000,7.50000000,Mass,,,,0,M8.5,2936.00,0.231916,0.019000,,,5.011810,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,120.42398696,,13.1610000,18.9668000
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,,266.0000000000,11.90000000,1.06000000,8899.19539600,28.00000000,Mass,,,2677.00,0,,,,,,,,11h01m19.09s,165.3295388,-77d32m38.73s,-77.5440912,,,11.6320000,18.3299000
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,,587.0000000000,12.10000000,1.08000000,6356.56814000,20.00000000,Mass,,,2506.00,0,,3021.00,0.600455,0.588460,,,4.650820,11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558,100.86200000,16.9570000,10.0790000,14.8180000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,Paranal Observatory,0,,55.0000000000,12.90000000,1.15000000,1589.15000000,5.00000000,Mass,,,1250.00,0,M8,2825.00,0.218870,0.024000,,,5.031860,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.30800000,20.1500000,11.9450000,17.4076000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,Kepler,0,406.00000000000,0.9200000000,13.40000000,1.20000000,603.87700000,1.90000000,Mass,0.330000,,,0,,29564.00,0.203000,0.480000,-0.0920,[Fe/H],5.508000,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.33200000,12.6510000,12.9550000,12.1376000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,Imaging,2024,European Space Agency (ESA) Gaia Satellite,0,,7493.0000000000,12.40000000,1.10000000,3813.94088400,12.00000000,Mass,,,1616.00,0,,3592.00,0.672832,0.643977,,,4.591120,21h25m27.91s,321.3662989,-81d38m29.36s,-81.6414894,34.11540000,11.8040000,7.3410000,10.8133000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,W. M. Keck Observatory,0,,230.0000000000,12.30000000,1.10000000,3972.87500000,12.50000000,Mass,,,,0,K7 V,4045.00,0.641152,0.600000,,,4.623490,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,69.57370000,12.3680000,9.1480000,11.9484000
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0,335.10001000000,0.9900000000,12.30000000,1.10000000,4392.41060000,13.82000000,Msini,0.290000,,,0,F6 V,6331.00,1.410000,1.930000,0.1900,[Fe/H],4.430000,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.65700000,7.0920900,5.8220000,6.9608500
4 UMa b,4 UMa,1,1,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,0,270.27000000000,0.8770000000,12.60000000,1.12000000,2511.48007211,7.90200000,Msini,0.453000,,,0,K1 III,4415.00,18.110000,1.234000,-0.2500,[Fe/H],1.800000,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.46030000,4.5801000,1.7340000,4.2377300
47 UMa b,47 UMa,1,3,Radial Velocity,1996,Lick Observatory,0,1078.00000000000,2.1000000000,13.20000000,1.18000000,804.08000000,2.53000000,Msini,0.032000,,,0,G0V,5872.00,1.213340,1.060000,0.0400,[M/H],4.295410,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.79670000,5.0335200,3.7500000,4.8783700
47 UMa c,47 UMa,1,3,Radial Velocity,2001,Lick Observatory,0,2391.00000000000,3.6000000000,14.20000000,1.27000000,171.62100000,0.54000000,Msini,0.098000,,,0,G0V,5872.00,1.213340,1.060000,0.0400,[M/H],4.295410,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.79670000,5.0335200,3.7500000,4.8783700
47 UMa d,47 UMa,1,3,Radial Velocity,2009,Lick Observatory,0,14002.00000000000,11.6000000000,13.50000000,1.20000000,521.22000000,1.64000000,Msini,0.160000,,,0,G0V,5872.00,1.213340,1.060000,0.0400,[M/H],4.295410,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.79670000,5.0335200,3.7500000,4.8783700
51 Eri b,51 Eri,3,1,Imaging,2015,Gemini Observatory,0,11688.00000000000,13.2000000000,13.40000000,1.19000000,635.66000000,2.00000000,Mass,0.450000,,700.00,0,F0 IV,7295.00,1.487260,1.750000,-0.0270,[M/H],4.310780,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.75750000,5.2114900,4.5370000,5.1580600
51 Peg b,51 Peg,1,1,Radial Velocity,1995,Haute-Provence Observatory,0,4.23078500000,0.0527000000,14.30000000,1.27000000,146.20180000,0.46000000,Mass,0.013000,,,0,G5V,5758.00,1.175610,1.030000,0.1800,[M/H],4.310380,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.46140000,5.4530900,3.9110000,5.2864700
55 Cnc b,55 Cnc,2,5,Radial Velocity,1996,Lick Observatory,0,14.65160000000,0.1134000000,13.90000000,1.24000000,263.97850000,0.83060000,Mass,0.000000,,700.00,0,G8V,5172.00,0.943000,0.905000,0.3500,[Fe/H],4.430000,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000,5.9508400,4.0150000,5.7297300
55 Cnc c,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,44.39890000000,0.2373000000,8.51000000,0.76000000,54.47380000,0.17140000,Mass,0.030000,,,0,G8V,5172.00,0.943000,0.905000,0.3500,[Fe/H],4.430000,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000,5.9508400,4.0150000,5.7297300
55 Cnc d,55 Cnc,2,5,Radial Velocity,2002,Lick Observatory,0,5574.20000000000,5.9570000000,13.00000000,1.16000000,1232.49300000,3.87800000,Mass,0.130000,,,0,G8V,5172.00,0.943000,0.905000,0.3500,[Fe/H],4.430000,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000,5.9508400,4.0150000,5.7297300
55 Cnc e,55 Cnc,2,5,Radial Velocity,2004,McDonald Observatory,0,0.73654740000,0.0154400000,1.87500000,0.16727630,7.99000000,0.02513923,Mass,0.050000,2657.8322,1958.00,0,G8V,5172.00,0.943000,0.905000,0.3500,[Fe/H],4.430000,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.58550000,5.9508400,4.0150000,5.7297300
